epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,242.358,0.59176,3.40113,1.3164,0.4301,0.48399,0.42562,0.32573,0.72598,1.97143,0.90143,0.00332698,0.00332698,0.00332698
2,485.681,0.35582,1.83787,1.07213,0.68147,0.65058,0.76077,0.71192,0.43058,1.45096,0.68821,0.00664713,0.00664713,0.00664713
3,729.612,0.36532,1.51607,1.06718,0.50909,0.51807,0.52402,0.4711,0.47548,1.82869,0.62562,0.00995408,0.00995408,0.00995408
4,974.134,0.34456,1.28027,1.05155,0.79744,0.73253,0.84133,0.77315,0.49301,0.96846,0.66403,0.0099406,0.0099406,0.0099406
5,1219.16,0.29603,1.06594,1.02178,0.82842,0.67687,0.81919,0.71953,0.48869,1.34037,0.67004,0.0099208,0.0099208,0.0099208
6,1464.55,0.26997,0.95453,1.00625,0.93775,0.90637,0.97584,0.95667,0.29029,0.4384,0.45373,0.009901,0.009901,0.009901
7,1710.04,0.25329,0.88882,0.99635,0.94907,0.91876,0.97792,0.94039,0.45739,0.4936,0.68522,0.0098812,0.0098812,0.0098812
8,1955.68,0.24025,0.83955,0.99022,0.94829,0.95225,0.9867,0.95786,0.28263,0.44576,0.40491,0.0098614,0.0098614,0.0098614
9,2201.55,0.22998,0.80165,0.98347,0.96227,0.94582,0.98756,0.94565,0.33594,0.42608,0.50381,0.0098416,0.0098416,0.0098416
10,2447.68,0.22244,0.77802,0.97965,0.97155,0.96148,0.99085,0.92936,0.42994,0.44508,0.61814,0.0098218,0.0098218,0.0098218
11,2693.69,0.21913,0.75321,0.97778,0.98002,0.97125,0.99224,0.95498,0.33935,0.39315,0.52349,0.009802,0.009802,0.009802
12,2939.98,0.21497,0.73819,0.97515,0.98848,0.98225,0.99416,0.9644,0.28814,0.31795,0.43216,0.0097822,0.0097822,0.0097822
13,3186.32,0.21149,0.71853,0.97429,0.94896,0.94938,0.98855,0.85538,0.52871,0.65187,0.7221,0.0097624,0.0097624,0.0097624
14,3432.43,0.20655,0.70309,0.97098,0.99345,0.9932,0.99479,0.97599,0.3432,0.42802,0.55921,0.0097426,0.0097426,0.0097426
15,3678.36,0.2018,0.68113,0.9684,0.98925,0.98939,0.99467,0.97519,0.31166,0.38157,0.48537,0.0097228,0.0097228,0.0097228
16,3924.65,0.20022,0.67528,0.96918,0.99406,0.99494,0.99487,0.98872,0.2773,0.32343,0.41901,0.009703,0.009703,0.009703
17,4170.89,0.19715,0.66335,0.96524,0.99365,0.99474,0.99488,0.98701,0.28898,0.3257,0.429,0.0096832,0.0096832,0.0096832
18,4416.98,0.19643,0.65399,0.96598,0.9973,0.99492,0.99489,0.98065,0.28516,0.32364,0.4159,0.0096634,0.0096634,0.0096634
19,4663.38,0.19299,0.64883,0.96433,0.99731,0.99503,0.99495,0.97689,0.31753,0.43015,0.47617,0.0096436,0.0096436,0.0096436
20,4909.57,0.19096,0.63612,0.96247,0.99604,0.99655,0.99497,0.9916,0.26791,0.31686,0.40522,0.0096238,0.0096238,0.0096238
21,5155.76,0.18959,0.62937,0.96223,0.99678,0.9975,0.99498,0.9899,0.27928,0.3107,0.41192,0.009604,0.009604,0.009604
22,5401.73,0.18934,0.62145,0.96181,0.99767,0.99689,0.99498,0.98085,0.29844,0.35485,0.44708,0.0095842,0.0095842,0.0095842
23,5648,0.18763,0.61656,0.96034,0.99768,0.99693,0.99491,0.96783,0.31341,0.39614,0.47788,0.0095644,0.0095644,0.0095644
24,5894.33,0.1857,0.61547,0.95889,0.99761,0.99733,0.99498,0.98541,0.288,0.33781,0.42859,0.0095446,0.0095446,0.0095446
25,6140.55,0.18459,0.61107,0.96004,0.99801,0.99805,0.99499,0.99339,0.25754,0.30749,0.38441,0.0095248,0.0095248,0.0095248
26,6386.58,0.18331,0.59964,0.95754,0.99837,0.99774,0.99499,0.99385,0.26226,0.30505,0.38922,0.009505,0.009505,0.009505
27,6633.07,0.18253,0.59855,0.95706,0.9982,0.9977,0.99499,0.99345,0.26893,0.30282,0.39585,0.0094852,0.0094852,0.0094852
28,6879.41,0.18035,0.59108,0.95705,0.99825,0.99733,0.99499,0.99162,0.27276,0.31292,0.40336,0.0094654,0.0094654,0.0094654
29,7125.76,0.17927,0.589,0.9545,0.99827,0.99778,0.99499,0.99067,0.27093,0.31027,0.39713,0.0094456,0.0094456,0.0094456
30,7371.89,0.17925,0.58595,0.9561,0.9982,0.99785,0.99499,0.98816,0.27445,0.3153,0.40132,0.0094258,0.0094258,0.0094258
